NAME	DESCRIPTION	X5p4_25c	X5p4_27c	X5p4_28c	X5p4_29c	X5p4_30c	X5p4_31cfoxc1	X5p4_32cfoxc1	X5p4_33cfoxc1	X5p4_34cfoxc1	X5p4_35cfoxc1
ENSG00000004864	SLC25A13	7.58411467119719	7.54525998106879	8.70945867304006	8.63535805737872	8.48352995659871	7.25522293492156	7.36104442684116	7.74838535079512	8.30393442466629	8.23658100211727
ENSG00000004866	ST7	6.95632812874865	6.78657236873664	6.36516247048207	6.67304501304847	6.64423205185448	6.75449779868005	6.81206027143128	6.85043245948954	6.82386685655873	6.85137902825373
ENSG00000004897	CDC27	8.60842874472736	8.45097374663038	9.07046245227097	8.67383935951582	8.88985774901754	8.652376013977	8.87431873926783	8.67185599438522	8.31810352824724	8.27694795199323
ENSG00000004961	HCCS	8.5076669324159	8.40354624661763	8.58554859750115	8.84210514712921	8.65300703597185	8.18401716390321	8.12626416820349	8.39180679192845	8.5438747204536	8.74818102267293
ENSG00000004975	DVL2	8.88583722065478	8.93799895077393	8.77625262763302	9.09840466137905	9.03458835979133	8.92624558474821	8.70477796722036	8.9607193021745	8.83413979234594	8.79757693282778
ENSG00000005001	PRSS22	6.17921560919386	6.23847968143786	6.90711293404916	7.23281290941925	7.06350517678236	5.75564271792233	5.5435501957161	5.71869307962801	6.54742885343096	6.94203467221837
ENSG00000005007	UPF1	10.3552859012519	10.3657061978082	10.0913809689832	10.3401792334028	10.1621203098327	10.4128641788111	10.2435693617263	10.2522774833289	10.2837581802078	10.4526427803289
ENSG00000005020	SKAP2	8.23795529198384	8.08569098910914	8.18605521459169	8.10948160516292	7.95431870862263	8.65565044907781	8.58985179676189	8.38783880631309	7.97482369914106	7.86511593212272
ENSG00000005022	SLC25A5	10.6578082480057	10.6263220994423	10.3100294419181	10.236015758466	10.4415222612967	10.4983283029908	10.6358620872393	10.6708342709225	10.7934032583121	10.5423108607943
ENSG00000005059	MCUB	6.68026459866688	6.48623548105328	6.30927882335555	6.38836070581423	6.29024169207959	6.12041509360447	6.54220149935571	6.80354342687641	6.91369404635041	6.76886555573339
ENSG00000005073	HOXA11	2.92263882212404	3.5076632158359	1.62669320258063	2.67235095769324	1.66739116490218	2.88751829793913	2.69532812816795	3.47870161570628	1.02836762539338	2.89120527001328
ENSG00000005075	POLR2J	7.31266167164068	7.40780041401951	7.10608515150301	7.57128567619709	7.39731145666065	7.1661909505777	7.29549166285082	7.2594483889666	7.62575373580802	7.65910774219934
ENSG00000005100	DHX33	7.40360224009448	7.35890748641951	7.47118501106253	7.43454051397855	7.39731145666065	7.59926726011263	7.62395133893631	7.4389124536504	7.12186607663289	7.00346934846879
ENSG00000005102	MEOX1	0	0	4.51881582087551	2.67235095769324	3.57070386943066	1.9041340763422	0	0.943011705665732	0	2.66654829007239
ENSG00000005156	LIG3	8.56610381456483	8.60217554783998	8.11177093151181	8.18069149968535	8.09875747758644	8.4709703328812	8.43864428864166	8.45005302144762	8.49065714613408	8.19505198241292
ENSG00000005175	RPAP3	7.387488287226	7.33382528057978	7.97478885417299	7.75479968698177	7.8561021850209	7.28935222166505	7.59699631952856	7.62571233521724	7.69253586810342	7.41870308869989
ENSG00000005187	ACSM3	2.92263882212404	3.5076632158359	3.05452781980009	2.07888399957946	2.42029204535464	3.58151602791253	3.68558772955514	2.708236848469	3.75238259308699	2.89120527001328
ENSG00000005189	REXO5	3.72511983214569	4.56279819849594	3.51604274725068	4.00441866555546	3.43212905431059	4.73334658140296	4.3341060946002	4.58877077698762	3.95940023609819	3.67445874239773
ENSG00000005194	CIAPIN1	8.3872312025648	8.59515615081978	8.44998764106371	8.4702658574073	8.54366545912564	8.30572802455803	8.28668146527408	8.39180679192845	8.65967287121673	9.02494817748738
